"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"1-4 years"	"1-4"	"Maine"	"23"	"2018"	"2018"	Suppressed	51873	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2007"	"2007"	Suppressed	290037	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2008"	"2008"	Suppressed	291074	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2009"	"2009"	Suppressed	291878	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2010"	"2010"	Suppressed	292965	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2011"	"2011"	Suppressed	293094	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2012"	"2012"	Suppressed	293248	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2013"	"2013"	Suppressed	293943	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2014"	"2014"	Suppressed	296470	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2015"	"2015"	Suppressed	296128	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2016"	"2016"	Suppressed	294515	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2017"	"2017"	Suppressed	294126	Suppressed
	"1-4 years"	"1-4"	"Maryland"	"24"	"2018"	"2018"	Suppressed	293661	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2007"	"2007"	Suppressed	294040	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2008"	"2008"	Suppressed	293954	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2009"	"2009"	Suppressed	294777	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2010"	"2010"	Suppressed	295653	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2011"	"2011"	Suppressed	292308	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2012"	"2012"	Suppressed	293307	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2013"	"2013"	Suppressed	292035	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2014"	"2014"	Suppressed	292855	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2015"	"2015"	Suppressed	293462	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2016"	"2016"	Suppressed	289519	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2017"	"2017"	Suppressed	289065	Suppressed
	"1-4 years"	"1-4"	"Massachusetts"	"25"	"2018"	"2018"	Suppressed	289374	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2007"	"2007"	Suppressed	502441	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2008"	"2008"	Suppressed	495024	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2009"	"2009"	Suppressed	486285	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2010"	"2010"	Suppressed	481535	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2011"	"2011"	Suppressed	471244	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2012"	"2012"	Suppressed	464952	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2013"	"2013"	Suppressed	459897	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2014"	"2014"	Suppressed	457844	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2015"	"2015"	Suppressed	457715	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2016"	"2016"	Suppressed	460558	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2017"	"2017"	Suppressed	461591	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	"2018"	"2018"	Suppressed	461862	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2007"	"2007"	Suppressed	280024	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2008"	"2008"	Suppressed	283606	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2009"	"2009"	Suppressed	285196	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2010"	"2010"	Suppressed	286495	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2011"	"2011"	Suppressed	283948	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2012"	"2012"	Suppressed	280803	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2013"	"2013"	Suppressed	278889	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2014"	"2014"	Suppressed	279244	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2015"	"2015"	Suppressed	280286	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2016"	"2016"	Suppressed	282567	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2017"	"2017"	Suppressed	285880	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	"2018"	"2018"	Suppressed	286725	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2007"	"2007"	Suppressed	164581	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2008"	"2008"	Suppressed	168275	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2009"	"2009"	Suppressed	170740	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2010"	"2010"	Suppressed	170696	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2011"	"2011"	Suppressed	169222	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2012"	"2012"	Suppressed	164177	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2013"	"2013"	Suppressed	159513	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2014"	"2014"	Suppressed	156236	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2015"	"2015"	Suppressed	154609	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2016"	"2016"	Suppressed	151391	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2017"	"2017"	Suppressed	150320	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	"2018"	"2018"	Suppressed	149599	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2007"	"2007"	Suppressed	305717	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2008"	"2008"	Suppressed	309406	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2009"	"2009"	Suppressed	312416	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2010"	"2010"	Suppressed	314118	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2011"	"2011"	Suppressed	309315	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2012"	"2012"	Suppressed	305376	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2013"	"2013"	Suppressed	302304	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2014"	"2014"	Suppressed	300134	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2015"	"2015"	Suppressed	299581	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2016"	"2016"	Suppressed	299753	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2017"	"2017"	Suppressed	300980	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	"2018"	"2018"	Suppressed	300455	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2007"	"2007"	Suppressed	46929	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2008"	"2008"	Suppressed	48351	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2009"	"2009"	Suppressed	49447	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2010"	"2010"	Suppressed	50266	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2011"	"2011"	Suppressed	49874	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2012"	"2012"	Suppressed	49080	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2013"	"2013"	Suppressed	49132	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2014"	"2014"	Suppressed	48925	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2015"	"2015"	Suppressed	49285	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2016"	"2016"	Suppressed	50385	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2017"	"2017"	Suppressed	50753	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	"2018"	"2018"	Suppressed	50437	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2007"	"2007"	Suppressed	102779	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2008"	"2008"	Suppressed	103726	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2009"	"2009"	Suppressed	104664	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2010"	"2010"	Suppressed	105826	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2011"	"2011"	Suppressed	105565	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2012"	"2012"	Suppressed	106152	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2013"	"2013"	Suppressed	104483	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2014"	"2014"	Suppressed	104275	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2015"	"2015"	Suppressed	104453	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2016"	"2016"	Suppressed	106169	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2017"	"2017"	Suppressed	106721	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	"2018"	"2018"	Suppressed	107159	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2007"	"2007"	Suppressed	150468	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2008"	"2008"	Suppressed	153991	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2009"	"2009"	Suppressed	153238	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2010"	"2010"	Suppressed	150973	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2011"	"2011"	Suppressed	149765	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2012"	"2012"	Suppressed	147424	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2013"	"2013"	Suppressed	142985	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2014"	"2014"	Suppressed	141535	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2015"	"2015"	Suppressed	140880	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2016"	"2016"	Suppressed	147490	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2017"	"2017"	Suppressed	149387	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	"2018"	"2018"	Suppressed	150214	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2007"	"2007"	Suppressed	59997	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2008"	"2008"	Suppressed	59103	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2009"	"2009"	Suppressed	58306	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2010"	"2010"	Suppressed	56812	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2011"	"2011"	Suppressed	54740	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2012"	"2012"	Suppressed	53324	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2013"	"2013"	Suppressed	52737	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2014"	"2014"	Suppressed	51984	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2015"	"2015"	Suppressed	51810	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2016"	"2016"	Suppressed	51721	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2017"	"2017"	Suppressed	51996	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	"2018"	"2018"	Suppressed	51803	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2007"	"2007"	Suppressed	442155	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2008"	"2008"	Suppressed	437783	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2009"	"2009"	Suppressed	435000	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2010"	"2010"	Suppressed	436034	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2011"	"2011"	Suppressed	431432	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2012"	"2012"	Suppressed	424883	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2013"	"2013"	Suppressed	428059	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2014"	"2014"	Suppressed	428375	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2015"	"2015"	Suppressed	426281	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2016"	"2016"	Suppressed	419065	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2017"	"2017"	Suppressed	419816	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	"2018"	"2018"	Suppressed	418264	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2007"	"2007"	Suppressed	112876	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2008"	"2008"	Suppressed	114855	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2009"	"2009"	Suppressed	116570	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2010"	"2010"	Suppressed	116802	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2011"	"2011"	Suppressed	116996	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2012"	"2012"	Suppressed	115205	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2013"	"2013"	Suppressed	111527	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2014"	"2014"	Suppressed	110263	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2015"	"2015"	Suppressed	108617	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2016"	"2016"	Suppressed	103875	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2017"	"2017"	Suppressed	103085	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	"2018"	"2018"	Suppressed	100578	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2007"	"2007"	Suppressed	915181	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2008"	"2008"	Suppressed	917292	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2009"	"2009"	Suppressed	920364	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2010"	"2010"	Suppressed	923950	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2011"	"2011"	Suppressed	921300	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2012"	"2012"	Suppressed	930117	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2013"	"2013"	Suppressed	934329	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2014"	"2014"	Suppressed	944787	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2015"	"2015"	Suppressed	946072	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2016"	"2016"	Suppressed	926365	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2017"	"2017"	Suppressed	929748	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	"2018"	"2018"	Suppressed	912559	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2007"	"2007"	Suppressed	488745	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2008"	"2008"	Suppressed	501192	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2009"	"2009"	Suppressed	508956	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2010"	"2010"	Suppressed	508704	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2011"	"2011"	Suppressed	507808	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2012"	"2012"	Suppressed	499612	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2013"	"2013"	Suppressed	492598	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2014"	"2014"	Suppressed	487572	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2015"	"2015"	Suppressed	484135	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2016"	"2016"	Suppressed	485468	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2017"	"2017"	Suppressed	489412	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	"2018"	"2018"	Suppressed	491578	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2007"	"2007"	Suppressed	32339	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2008"	"2008"	Suppressed	33617	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2009"	"2009"	Suppressed	34629	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2010"	"2010"	Suppressed	35664	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2011"	"2011"	Suppressed	36056	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2012"	"2012"	Suppressed	36987	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2013"	"2013"	Suppressed	38679	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2014"	"2014"	Suppressed	40228	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2015"	"2015"	Suppressed	42003	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2016"	"2016"	Suppressed	43731	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2017"	"2017"	Suppressed	43060	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	"2018"	"2018"	Suppressed	43893	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2007"	"2007"	Suppressed	580087	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2008"	"2008"	Suppressed	581030	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2009"	"2009"	Suppressed	580980	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2010"	"2010"	Suppressed	581814	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2011"	"2011"	Suppressed	570648	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2012"	"2012"	Suppressed	560451	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2013"	"2013"	Suppressed	555088	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2014"	"2014"	Suppressed	553326	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2015"	"2015"	Suppressed	554033	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2016"	"2016"	Suppressed	560027	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2017"	"2017"	Suppressed	562075	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	"2018"	"2018"	Suppressed	560787	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2007"	"2007"	Suppressed	200558	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2008"	"2008"	Suppressed	204215	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2009"	"2009"	Suppressed	209508	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2010"	"2010"	Suppressed	212177	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2011"	"2011"	Suppressed	213022	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2012"	"2012"	Suppressed	210477	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2013"	"2013"	Suppressed	212326	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2014"	"2014"	Suppressed	212843	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2015"	"2015"	Suppressed	214367	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2016"	"2016"	Suppressed	214501	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2017"	"2017"	Suppressed	211863	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	"2018"	"2018"	Suppressed	210076	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2007"	"2007"	Suppressed	184490	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2008"	"2008"	Suppressed	188352	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2009"	"2009"	Suppressed	190819	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2010"	"2010"	Suppressed	191514	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2011"	"2011"	Suppressed	190168	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2012"	"2012"	Suppressed	187279	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2013"	"2013"	Suppressed	184764	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2014"	"2014"	Suppressed	184080	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2015"	"2015"	Suppressed	184524	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2016"	"2016"	Suppressed	188900	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2017"	"2017"	Suppressed	189352	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	"2018"	"2018"	Suppressed	188955	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2007"	"2007"	Suppressed	579034	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2008"	"2008"	Suppressed	582469	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2009"	"2009"	Suppressed	585991	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2010"	"2010"	Suppressed	587988	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2011"	"2011"	Suppressed	580854	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2012"	"2012"	Suppressed	578835	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2013"	"2013"	Suppressed	573343	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2014"	"2014"	Suppressed	573186	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2015"	"2015"	Suppressed	573047	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2016"	"2016"	Suppressed	571270	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2017"	"2017"	Suppressed	570475	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	"2018"	"2018"	Suppressed	567551	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2007"	"2007"	Suppressed	47651	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2008"	"2008"	Suppressed	47285	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2009"	"2009"	Suppressed	46698	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2010"	"2010"	Suppressed	46489	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2011"	"2011"	Suppressed	45035	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2012"	"2012"	Suppressed	44339	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2013"	"2013"	Suppressed	43720	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2014"	"2014"	Suppressed	43915	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2015"	"2015"	Suppressed	44063	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2016"	"2016"	Suppressed	43862	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2017"	"2017"	Suppressed	43838	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	"2018"	"2018"	Suppressed	43856	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2007"	"2007"	Suppressed	228986	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2008"	"2008"	Suppressed	236411	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2009"	"2009"	Suppressed	241507	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2010"	"2010"	Suppressed	243298	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2011"	"2011"	Suppressed	243181	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2012"	"2012"	Suppressed	238844	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2013"	"2013"	Suppressed	234904	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2014"	"2014"	Suppressed	233080	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2015"	"2015"	Suppressed	232063	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2016"	"2016"	Suppressed	234889	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2017"	"2017"	Suppressed	236052	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	"2018"	"2018"	Suppressed	236459	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2007"	"2007"	Suppressed	44666	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2008"	"2008"	Suppressed	45995	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2009"	"2009"	Suppressed	46908	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2010"	"2010"	Suppressed	47971	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2011"	"2011"	Suppressed	47761	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2012"	"2012"	Suppressed	47520	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2013"	"2013"	Suppressed	47814	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2014"	"2014"	Suppressed	48297	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2015"	"2015"	Suppressed	48825	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2016"	"2016"	Suppressed	49152	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2017"	"2017"	Suppressed	49502	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	"2018"	"2018"	Suppressed	50023	Suppressed
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2007"	"2007"	Suppressed	318049	Suppressed
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2008"	"2008"	Suppressed	322932	Suppressed
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2009"	"2009"	Suppressed	327113	Suppressed
	"1-4 years"	"1-4"	"Tennessee"	"47"	"2010"	"2010"	Suppressed	328797	Suppressed
