"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"45-54 years"	"45-54"	"Wyoming"	"56"	34	200631	16.9
"Total"	"45-54 years"	"45-54"			29734	126793330	23.5
	"55-64 years"	"55-64"	"Alabama"	"01"	169	1950816	8.7
	"55-64 years"	"55-64"	"Alaska"	"02"	50	285290	17.5
	"55-64 years"	"55-64"	"Arizona"	"04"	486	2543672	19.1
	"55-64 years"	"55-64"	"Arkansas"	"05"	94	1144668	8.2
	"55-64 years"	"55-64"	"California"	"06"	1587	14232622	11.2
	"55-64 years"	"55-64"	"Colorado"	"08"	282	2116390	13.3
	"55-64 years"	"55-64"	"Connecticut"	"09"	443	1526879	29.0
	"55-64 years"	"55-64"	"Delaware"	"10"	106	399510	26.5
	"55-64 years"	"55-64"	"District of Columbia"	"11"	249	210473	118.3
	"55-64 years"	"55-64"	"Florida"	"12"	1393	8379392	16.6
	"55-64 years"	"55-64"	"Georgia"	"13"	454	3786055	12.0
	"55-64 years"	"55-64"	"Hawaii"	"15"	57	548205	10.4
	"55-64 years"	"55-64"	"Idaho"	"16"	56	634847	8.8
	"55-64 years"	"55-64"	"Illinois"	"17"	1096	4987088	22.0
	"55-64 years"	"55-64"	"Indiana"	"18"	398	2608360	15.3
	"55-64 years"	"55-64"	"Iowa"	"19"	83	1251094	6.6
	"55-64 years"	"55-64"	"Kansas"	"20"	106	1119263	9.5
	"55-64 years"	"55-64"	"Kentucky"	"21"	410	1782374	23.0
	"55-64 years"	"55-64"	"Louisiana"	"22"	167	1815478	9.2
	"55-64 years"	"55-64"	"Maine"	"23"	102	633703	16.1
	"55-64 years"	"55-64"	"Maryland"	"24"	1122	2414809	46.5
	"55-64 years"	"55-64"	"Massachusetts"	"25"	786	2787623	28.2
	"55-64 years"	"55-64"	"Michigan"	"26"	955	4195812	22.8
	"55-64 years"	"55-64"	"Minnesota"	"27"	170	2242786	7.6
	"55-64 years"	"55-64"	"Mississippi"	"28"	98	1150797	8.5
	"55-64 years"	"55-64"	"Missouri"	"29"	397	2469556	16.1
	"55-64 years"	"55-64"	"Montana"	"30"	30	456030	6.6
	"55-64 years"	"55-64"	"Nebraska"	"31"	40	726821	5.5
	"55-64 years"	"55-64"	"Nevada"	"32"	284	1109894	25.6
	"55-64 years"	"55-64"	"New Hampshire"	"33"	123	627955	19.6
	"55-64 years"	"55-64"	"New Jersey"	"34"	885	3631946	24.4
	"55-64 years"	"55-64"	"New Mexico"	"35"	184	822067	22.4
	"55-64 years"	"55-64"	"New York"	"36"	1457	7762529	18.8
	"55-64 years"	"55-64"	"North Carolina"	"37"	627	3965589	15.8
	"55-64 years"	"55-64"	"North Dakota"	"38"	13	285112	Unreliable
	"55-64 years"	"55-64"	"Ohio"	"39"	1536	4829192	31.8
	"55-64 years"	"55-64"	"Oklahoma"	"40"	245	1472608	16.6
	"55-64 years"	"55-64"	"Oregon"	"41"	184	1640054	11.2
	"55-64 years"	"55-64"	"Pennsylvania"	"42"	965	5425676	17.8
	"55-64 years"	"55-64"	"Rhode Island"	"44"	127	444631	28.6
	"55-64 years"	"55-64"	"South Carolina"	"45"	376	2003837	18.8
	"55-64 years"	"55-64"	"South Dakota"	"46"	18	349215	Unreliable
	"55-64 years"	"55-64"	"Tennessee"	"47"	602	2629945	22.9
	"55-64 years"	"55-64"	"Texas"	"48"	758	9535073	7.9
	"55-64 years"	"55-64"	"Utah"	"49"	244	887718	27.5
	"55-64 years"	"55-64"	"Vermont"	"50"	34	290209	11.7
	"55-64 years"	"55-64"	"Virginia"	"51"	447	3283713	13.6
	"55-64 years"	"55-64"	"Washington"	"53"	463	2863534	16.2
	"55-64 years"	"55-64"	"West Virginia"	"54"	329	786376	41.8
	"55-64 years"	"55-64"	"Wisconsin"	"55"	371	2442183	15.2
	"55-64 years"	"55-64"	"Wyoming"	"56"	28	241969	11.6
"Total"	"55-64 years"	"55-64"			21686	125731438	17.2
	"65-74 years"	"65-74"	"Alabama"	"01"	31	1429722	2.2
	"65-74 years"	"65-74"	"Alaska"	"02"	11	166846	Unreliable
	"65-74 years"	"65-74"	"Arizona"	"04"	156	2110391	7.4
	"65-74 years"	"65-74"	"Arkansas"	"05"	20	870100	2.3
	"65-74 years"	"65-74"	"California"	"06"	516	9570216	5.4
	"65-74 years"	"65-74"	"Colorado"	"08"	89	1437798	6.2
	"65-74 years"	"65-74"	"Connecticut"	"09"	67	1005801	6.7
	"65-74 years"	"65-74"	"Delaware"	"10"	19	312702	Unreliable
	"65-74 years"	"65-74"	"District of Columbia"	"11"	76	142882	53.2
	"65-74 years"	"65-74"	"Florida"	"12"	288	7018002	4.1
	"65-74 years"	"65-74"	"Georgia"	"13"	119	2605623	4.6
	"65-74 years"	"65-74"	"Hawaii"	"15"	20	432879	4.6
	"65-74 years"	"65-74"	"Idaho"	"16"	23	482833	4.8
	"65-74 years"	"65-74"	"Illinois"	"17"	175	3332085	5.3
	"65-74 years"	"65-74"	"Indiana"	"18"	75	1790903	4.2
	"65-74 years"	"65-74"	"Iowa"	"19"	16	873430	Unreliable
	"65-74 years"	"65-74"	"Kansas"	"20"	26	762910	3.4
	"65-74 years"	"65-74"	"Kentucky"	"21"	56	1272285	4.4
	"65-74 years"	"65-74"	"Louisiana"	"22"	38	1246274	3.0
	"65-74 years"	"65-74"	"Maine"	"23"	16	474218	Unreliable
	"65-74 years"	"65-74"	"Maryland"	"24"	192	1595149	12.0
	"65-74 years"	"65-74"	"Massachusetts"	"25"	121	1903071	6.4
	"65-74 years"	"65-74"	"Michigan"	"26"	227	2924855	7.8
	"65-74 years"	"65-74"	"Minnesota"	"27"	26	1475533	1.8
	"65-74 years"	"65-74"	"Mississippi"	"28"	19	820626	Unreliable
	"65-74 years"	"65-74"	"Missouri"	"29"	89	1731882	5.1
	"65-74 years"	"65-74"	"Montana"	"30"	Suppressed	344507	Suppressed
	"65-74 years"	"65-74"	"Nebraska"	"31"	Suppressed	499068	Suppressed
	"65-74 years"	"65-74"	"Nevada"	"32"	112	855181	13.1
	"65-74 years"	"65-74"	"New Hampshire"	"33"	22	424372	5.2
	"65-74 years"	"65-74"	"New Jersey"	"34"	133	2389161	5.6
	"65-74 years"	"65-74"	"New Mexico"	"35"	58	631978	9.2
	"65-74 years"	"65-74"	"New York"	"36"	342	5307108	6.4
	"65-74 years"	"65-74"	"North Carolina"	"37"	88	2933752	3.0
	"65-74 years"	"65-74"	"North Dakota"	"38"	Suppressed	185182	Suppressed
	"65-74 years"	"65-74"	"Ohio"	"39"	246	3351996	7.3
	"65-74 years"	"65-74"	"Oklahoma"	"40"	57	1051267	5.4
	"65-74 years"	"65-74"	"Oregon"	"41"	68	1295562	5.2
	"65-74 years"	"65-74"	"Pennsylvania"	"42"	145	3827040	3.8
	"65-74 years"	"65-74"	"Rhode Island"	"44"	27	299938	9.0
	"65-74 years"	"65-74"	"South Carolina"	"45"	75	1596667	4.7
	"65-74 years"	"65-74"	"South Dakota"	"46"	Suppressed	243743	Suppressed
	"65-74 years"	"65-74"	"Tennessee"	"47"	118	1936160	6.1
	"65-74 years"	"65-74"	"Texas"	"48"	210	6264214	3.4
	"65-74 years"	"65-74"	"Utah"	"49"	55	602334	9.1
	"65-74 years"	"65-74"	"Vermont"	"50"	12	211235	Unreliable
	"65-74 years"	"65-74"	"Virginia"	"51"	112	2273080	4.9
	"65-74 years"	"65-74"	"Washington"	"53"	140	2047078	6.8
	"65-74 years"	"65-74"	"West Virginia"	"54"	55	624398	8.8
	"65-74 years"	"65-74"	"Wisconsin"	"55"	82	1654703	5.0
	"65-74 years"	"65-74"	"Wyoming"	"56"	10	167352	Unreliable
"Total"	"65-74 years"	"65-74"			4700	88806092	5.3
	"75-84 years"	"75-84"	"Alabama"	"01"	Suppressed	720697	Suppressed
	"75-84 years"	"75-84"	"Alaska"	"02"	Suppressed	60124	Suppressed
	"75-84 years"	"75-84"	"Arizona"	"04"	35	1104693	3.2
	"75-84 years"	"75-84"	"Arkansas"	"05"	Suppressed	454026	Suppressed
	"75-84 years"	"75-84"	"California"	"06"	93	4752091	2.0
	"75-84 years"	"75-84"	"Colorado"	"08"	17	625594	Unreliable
	"75-84 years"	"75-84"	"Connecticut"	"09"	Suppressed	514679	Suppressed
	"75-84 years"	"75-84"	"Delaware"	"10"	Suppressed	151022	Suppressed
	"75-84 years"	"75-84"	"District of Columbia"	"11"	Suppressed	69190	Suppressed
	"75-84 years"	"75-84"	"Florida"	"12"	64	3966671	1.6
	"75-84 years"	"75-84"	"Georgia"	"13"	16	1189893	Unreliable
	"75-84 years"	"75-84"	"Hawaii"	"15"	Suppressed	205273	Suppressed
	"75-84 years"	"75-84"	"Idaho"	"16"	Suppressed	228878	Suppressed
	"75-84 years"	"75-84"	"Illinois"	"17"	21	1685484	1.2
	"75-84 years"	"75-84"	"Indiana"	"18"	Suppressed	891232	Suppressed
	"75-84 years"	"75-84"	"Iowa"	"19"	Suppressed	469544	Suppressed
	"75-84 years"	"75-84"	"Kansas"	"20"	Suppressed	390605	Suppressed
	"75-84 years"	"75-84"	"Kentucky"	"21"	Suppressed	622087	Suppressed
	"75-84 years"	"75-84"	"Louisiana"	"22"	Suppressed	605546	Suppressed
	"75-84 years"	"75-84"	"Maine"	"23"	Suppressed	227241	Suppressed
	"75-84 years"	"75-84"	"Maryland"	"24"	11	767036	Unreliable
	"75-84 years"	"75-84"	"Massachusetts"	"25"	11	939454	Unreliable
	"75-84 years"	"75-84"	"Michigan"	"26"	24	1429667	1.7
	"75-84 years"	"75-84"	"Minnesota"	"27"	Suppressed	745088	Suppressed
	"75-84 years"	"75-84"	"Mississippi"	"28"	Suppressed	411543	Suppressed
	"75-84 years"	"75-84"	"Missouri"	"29"	Suppressed	896955	Suppressed
	"75-84 years"	"75-84"	"Montana"	"30"	Suppressed	162104	Suppressed
	"75-84 years"	"75-84"	"Nebraska"	"31"	Suppressed	257819	Suppressed
	"75-84 years"	"75-84"	"Nevada"	"32"	22	394774	5.6
	"75-84 years"	"75-84"	"New Hampshire"	"33"	Suppressed	194376	Suppressed
	"75-84 years"	"75-84"	"New Jersey"	"34"	Suppressed	1235494	Suppressed
	"75-84 years"	"75-84"	"New Mexico"	"35"	11	308480	Unreliable
	"75-84 years"	"75-84"	"New York"	"36"	45	2750066	1.6
	"75-84 years"	"75-84"	"North Carolina"	"37"	20	1409919	1.4
	"75-84 years"	"75-84"	"North Dakota"	"38"	Suppressed	99070	Suppressed
	"75-84 years"	"75-84"	"Ohio"	"39"	22	1705877	1.3
	"75-84 years"	"75-84"	"Oklahoma"	"40"	16	546114	Unreliable
	"75-84 years"	"75-84"	"Oregon"	"41"	16	588110	Unreliable
	"75-84 years"	"75-84"	"Pennsylvania"	"42"	27	2007858	1.3
	"75-84 years"	"75-84"	"Rhode Island"	"44"	Suppressed	150159	Suppressed
	"75-84 years"	"75-84"	"South Carolina"	"45"	Suppressed	738561	Suppressed
	"75-84 years"	"75-84"	"South Dakota"	"46"	Suppressed	120252	Suppressed
	"75-84 years"	"75-84"	"Tennessee"	"47"	16	943519	Unreliable
	"75-84 years"	"75-84"	"Texas"	"48"	32	2980378	1.1
	"75-84 years"	"75-84"	"Utah"	"49"	11	293451	Unreliable
	"75-84 years"	"75-84"	"Vermont"	"50"	Suppressed	96797	Suppressed
	"75-84 years"	"75-84"	"Virginia"	"51"	11	1096740	Unreliable
	"75-84 years"	"75-84"	"Washington"	"53"	16	915970	Unreliable
	"75-84 years"	"75-84"	"West Virginia"	"54"	Suppressed	311564	Suppressed
	"75-84 years"	"75-84"	"Wisconsin"	"55"	11	826977	Unreliable
	"75-84 years"	"75-84"	"Wyoming"	"56"	Suppressed	75717	Suppressed
"Total"	"75-84 years"	"75-84"			690	44334459	1.6
	"85+ years"	"85+"	"Alabama"	"01"	Suppressed	264797	Suppressed
	"85+ years"	"85+"	"Alaska"	"02"	Suppressed	19827	Suppressed
	"85+ years"	"85+"	"Arizona"	"04"	Suppressed	415836	Suppressed
	"85+ years"	"85+"	"Arkansas"	"05"	Suppressed	173579	Suppressed
	"85+ years"	"85+"	"California"	"06"	43	2198711	2.0
	"85+ years"	"85+"	"Colorado"	"08"	Suppressed	260403	Suppressed
	"85+ years"	"85+"	"Connecticut"	"09"	Suppressed	274454	Suppressed
	"85+ years"	"85+"	"Delaware"	"10"	Suppressed	58440	Suppressed
	"85+ years"	"85+"	"District of Columbia"	"11"	Suppressed	35656	Suppressed
	"85+ years"	"85+"	"Florida"	"12"	20	1682950	1.2
	"85+ years"	"85+"	"Georgia"	"13"	Suppressed	427365	Suppressed
	"85+ years"	"85+"	"Hawaii"	"15"	Suppressed	120337	Suppressed
	"85+ years"	"85+"	"Idaho"	"16"	Suppressed	86461	Suppressed
	"85+ years"	"85+"	"Illinois"	"17"	Suppressed	792054	Suppressed
	"85+ years"	"85+"	"Indiana"	"18"	Suppressed	389339	Suppressed
	"85+ years"	"85+"	"Iowa"	"19"	Suppressed	237128	Suppressed
	"85+ years"	"85+"	"Kansas"	"20"	Suppressed	195282	Suppressed
	"85+ years"	"85+"	"Kentucky"	"21"	Suppressed	238320	Suppressed
	"85+ years"	"85+"	"Louisiana"	"22"	Suppressed	238439	Suppressed
	"85+ years"	"85+"	"Maine"	"23"	Suppressed	98437	Suppressed
	"85+ years"	"85+"	"Maryland"	"24"	Suppressed	349832	Suppressed
	"85+ years"	"85+"	"Massachusetts"	"25"	Suppressed	479148	Suppressed
	"85+ years"	"85+"	"Michigan"	"26"	Suppressed	641033	Suppressed
	"85+ years"	"85+"	"Minnesota"	"27"	Suppressed	361618	Suppressed
	"85+ years"	"85+"	"Mississippi"	"28"	Suppressed	154766	Suppressed
	"85+ years"	"85+"	"Missouri"	"29"	Suppressed	390181	Suppressed
	"85+ years"	"85+"	"Montana"	"30"	Suppressed	67854	Suppressed
	"85+ years"	"85+"	"Nebraska"	"31"	Suppressed	128896	Suppressed
	"85+ years"	"85+"	"Nevada"	"32"	Suppressed	126427	Suppressed
	"85+ years"	"85+"	"New Hampshire"	"33"	Suppressed	89858	Suppressed
	"85+ years"	"85+"	"New Jersey"	"34"	Suppressed	605087	Suppressed
	"85+ years"	"85+"	"New Mexico"	"35"	Suppressed	120758	Suppressed
	"85+ years"	"85+"	"New York"	"36"	15	1351062	Unreliable
	"85+ years"	"85+"	"North Carolina"	"37"	Suppressed	545504	Suppressed
	"85+ years"	"85+"	"North Dakota"	"38"	Suppressed	55592	Suppressed
	"85+ years"	"85+"	"Ohio"	"39"	10	766914	Unreliable
	"85+ years"	"85+"	"Oklahoma"	"40"	Suppressed	215133	Suppressed
	"85+ years"	"85+"	"Oregon"	"41"	Suppressed	252714	Suppressed
	"85+ years"	"85+"	"Pennsylvania"	"42"	14	1004140	Unreliable
	"85+ years"	"85+"	"Rhode Island"	"44"	Suppressed	84076	Suppressed
	"85+ years"	"85+"	"South Carolina"	"45"	Suppressed	259496	Suppressed
	"85+ years"	"85+"	"South Dakota"	"46"	Suppressed	63288	Suppressed
	"85+ years"	"85+"	"Tennessee"	"47"	Suppressed	353672	Suppressed
	"85+ years"	"85+"	"Texas"	"48"	Suppressed	1183680	Suppressed
	"85+ years"	"85+"	"Utah"	"49"	Suppressed	111429	Suppressed
	"85+ years"	"85+"	"Vermont"	"50"	Suppressed	42976	Suppressed
	"85+ years"	"85+"	"Virginia"	"51"	Suppressed	445753	Suppressed
	"85+ years"	"85+"	"Washington"	"53"	Suppressed	397289	Suppressed
	"85+ years"	"85+"	"West Virginia"	"54"	Suppressed	119032	Suppressed
	"85+ years"	"85+"	"Wisconsin"	"55"	Suppressed	386768	Suppressed
	"85+ years"	"85+"	"Wyoming"	"56"	Suppressed	31725	Suppressed
"Total"	"85+ years"	"85+"			235	19393516	1.2
	"Not Stated"	"NS"	"Alabama"	"01"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Alaska"	"02"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Arizona"	"04"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Arkansas"	"05"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"California"	"06"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Colorado"	"08"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Connecticut"	"09"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Delaware"	"10"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"District of Columbia"	"11"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Florida"	"12"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Georgia"	"13"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Hawaii"	"15"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Idaho"	"16"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Illinois"	"17"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Indiana"	"18"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Iowa"	"19"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Kansas"	"20"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Kentucky"	"21"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Louisiana"	"22"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Maine"	"23"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Maryland"	"24"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Massachusetts"	"25"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Michigan"	"26"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Minnesota"	"27"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Mississippi"	"28"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Missouri"	"29"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Montana"	"30"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Nebraska"	"31"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Nevada"	"32"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"New Hampshire"	"33"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"New Jersey"	"34"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"New Mexico"	"35"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"New York"	"36"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"North Carolina"	"37"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"North Dakota"	"38"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Ohio"	"39"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Oklahoma"	"40"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Oregon"	"41"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Pennsylvania"	"42"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Rhode Island"	"44"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"South Carolina"	"45"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"South Dakota"	"46"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Tennessee"	"47"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Texas"	"48"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Utah"	"49"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Vermont"	"50"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Virginia"	"51"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Washington"	"53"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"West Virginia"	"54"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Wisconsin"	"55"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Wyoming"	"56"	Suppressed	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"			29	Not Applicable	Not Applicable
"Total"					140417	976014125	14.4
"---"
"Dataset: Multiple Cause of Death, 1999-2018"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);"
"T40.6 (Other and unspecified narcotics)"
"Year/Month: 2016; 2017; 2018"
"Group By: Ten-Year Age Groups; State"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Feb 25, 2020 2:21:35 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Feb 25, 2020 2:21:35 PM"
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"4. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018"
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for"
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS"
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The"
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal"
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are"
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS"
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are"
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released"
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the"
"1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births."
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to"
"use of the population estimates which were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"6. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
