"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2008"	"2008"	421	7565465	5.6
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2009"	"2009"	491	7850138	6.3
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2010"	"2010"	544	8095862	6.7
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2011"	"2011"	627	8456238	7.4
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2012"	"2012"	666	8572183	7.8
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2013"	"2013"	856	8750961	9.8
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2014"	"2014"	1053	8895317	11.8
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2015"	"2015"	1218	9035427	13.5
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2016"	"2016"	1583	9119744	17.4
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2017"	"2017"	1863	9183256	20.3
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2018"	"2018"	1737	9203482	18.9
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2007"	"2007"	53	4355091	1.2
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2008"	"2008"	66	4511655	1.5
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2009"	"2009"	70	4644031	1.5
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2010"	"2010"	62	4724897	1.3
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2011"	"2011"	92	4849773	1.9
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2012"	"2012"	98	5148193	1.9
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2013"	"2013"	115	5385237	2.1
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2014"	"2014"	173	5611584	3.1
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2015"	"2015"	210	5837855	3.6
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2016"	"2016"	245	6056355	4.0
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2017"	"2017"	334	6297115	5.3
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"2018"	"2018"	397	6472820	6.1
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2007"	"2007"	Suppressed	3034266	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2008"	"2008"	16	3013448	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2009"	"2009"	27	2980563	0.9
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2010"	"2010"	17	2976797	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2011"	"2011"	20	2976889	0.7
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2012"	"2012"	25	2973186	0.8
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2013"	"2013"	29	2986089	1.0
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2014"	"2014"	20	3011658	0.7
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2015"	"2015"	27	3032426	0.9
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2016"	"2016"	32	3071957	1.0
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2017"	"2017"	43	3158861	1.4
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"2018"	"2018"	42	3287752	1.3
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2007"	"2007"	13	1234005	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2008"	"2008"	Suppressed	1263741	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2009"	"2009"	Suppressed	1295183	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2010"	"2010"	15	1320640	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2011"	"2011"	10	1366858	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2012"	"2012"	10	1392267	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2013"	"2013"	16	1419987	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2014"	"2014"	15	1437199	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2015"	"2015"	Suppressed	1452144	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2016"	"2016"	13	1458322	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2017"	"2017"	13	1472268	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"2018"	"2018"	14	1477503	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	1575238	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	1578222	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	1525391	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2010"	"2010"	10	1500673	Unreliable
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	1531307	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	1507737	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	1506298	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	1508830	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	1532340	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	1538390	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	1532795	Suppressed
	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	1494786	Suppressed
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2007"	"2007"	17	6006684	Unreliable
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2008"	"2008"	19	6095324	Unreliable
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2009"	"2009"	12	6159713	Unreliable
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2010"	"2010"	14	6171268	Unreliable
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2011"	"2011"	18	6169619	Unreliable
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	6133345	Suppressed
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2013"	"2013"	12	6100457	Unreliable
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2014"	"2014"	18	6109985	Unreliable
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2015"	"2015"	25	6128859	0.4
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2016"	"2016"	17	6176562	Unreliable
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	6210645	Suppressed
	"Census Region 3: South"	"CENS-R3"	"1-4 years"	"1-4"	"2018"	"2018"	10	6222026	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2007"	"2007"	11	14934897	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2008"	"2008"	13	15065357	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2009"	"2009"	11	15232414	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2010"	"2010"	18	15375429	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2011"	"2011"	11	15483011	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2012"	"2012"	13	15604260	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	15695332	Suppressed
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	15757743	Suppressed
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2015"	"2015"	13	15795064	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2016"	"2016"	16	15824488	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2017"	"2017"	10	15900362	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"2018"	"2018"	12	15966228	Unreliable
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2007"	"2007"	956	15784456	6.1
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2008"	"2008"	932	15916303	5.9
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2009"	"2009"	879	16034967	5.5
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2010"	"2010"	913	16088607	5.7
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2011"	"2011"	907	16212636	5.6
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2012"	"2012"	804	16329986	4.9
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2013"	"2013"	763	16387809	4.7
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2014"	"2014"	871	16449902	5.3
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2015"	"2015"	994	16465772	6.0
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2016"	"2016"	1332	16374641	8.1
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2017"	"2017"	1380	16355608	8.4
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"2018"	"2018"	1189	16353884	7.3
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2007"	"2007"	1668	14714976	11.3
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2008"	"2008"	1609	14914216	10.8
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2009"	"2009"	1777	15132628	11.7
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2010"	"2010"	1961	15284016	12.8
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2011"	"2011"	2077	15580501	13.3
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2012"	"2012"	1931	15804967	12.2
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2013"	"2013"	2028	16000422	12.7
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2014"	"2014"	2456	16289960	15.1
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2015"	"2015"	2946	16567419	17.8
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2016"	"2016"	3968	16808918	23.6
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2017"	"2017"	4687	17076571	27.4
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"2018"	"2018"	4465	17259305	25.9
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2007"	"2007"	1938	15762892	12.3
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2008"	"2008"	1875	15650494	12.0
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2009"	"2009"	1919	15473788	12.4
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2010"	"2010"	1988	15371343	12.9
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2011"	"2011"	2040	15268848	13.4
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2012"	"2012"	2020	15289167	13.2
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2013"	"2013"	2023	15322082	13.2
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2014"	"2014"	2380	15393782	15.5
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2015"	"2015"	2842	15477132	18.4
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2016"	"2016"	3645	15484966	23.5
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2017"	"2017"	4227	15647863	27.0
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"2018"	"2018"	4228	15834974	26.7
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2007"	"2007"	2087	15862943	13.2
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2008"	"2008"	2150	16129652	13.3
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2009"	"2009"	2382	16352151	14.6
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2010"	"2010"	2393	16465387	14.5
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2011"	"2011"	2502	16437828	15.2
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2012"	"2012"	2436	16331603	14.9
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2013"	"2013"	2357	16224746	14.5
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2014"	"2014"	2654	16179679	16.4
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2015"	"2015"	2926	16170364	18.1
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2016"	"2016"	3458	16157906	21.4
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2017"	"2017"	3860	16115976	24.0
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"2018"	"2018"	3525	15959916	22.1
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2007"	"2007"	672	12204669	5.5
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2008"	"2008"	706	12584728	5.6
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2009"	"2009"	880	13021193	6.8
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2010"	"2010"	1037	13405036	7.7
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2011"	"2011"	1017	13985387	7.3
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2012"	"2012"	1232	14165626	8.7
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2013"	"2013"	1384	14419271	9.6
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2014"	"2014"	1628	14714099	11.1
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2015"	"2015"	1904	15050274	12.7
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2016"	"2016"	2320	15332499	15.1
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2017"	"2017"	2650	15590474	17.0
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"2018"	"2018"	2676	15788540	16.9
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2007"	"2007"	117	7500481	1.6
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2008"	"2008"	117	7820122	1.5
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2009"	"2009"	159	8113356	2.0
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2010"	"2010"	138	8306759	1.7
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2011"	"2011"	185	8609771	2.1
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2012"	"2012"	192	9192244	2.1
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2013"	"2013"	254	9657359	2.6
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2014"	"2014"	287	10119689	2.8
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2015"	"2015"	349	10557273	3.3
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2016"	"2016"	482	10977845	4.4
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2017"	"2017"	478	11352578	4.2
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"2018"	"2018"	613	11662480	5.3
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2007"	"2007"	34	4680544	0.7
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2008"	"2008"	42	4715084	0.9
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2009"	"2009"	52	4726398	1.1
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2010"	"2010"	27	4765244	0.6
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2011"	"2011"	34	4852074	0.7
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2012"	"2012"	44	4919946	0.9
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2013"	"2013"	37	5022790	0.7
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2014"	"2014"	57	5146970	1.1
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2015"	"2015"	75	5277059	1.4
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2016"	"2016"	62	5433236	1.1
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2017"	"2017"	86	5631070	1.5
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"2018"	"2018"	79	5920200	1.3
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2007"	"2007"	18	1660962	Unreliable
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2008"	"2008"	12	1715428	Unreliable
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2009"	"2009"	21	1776616	1.2
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2010"	"2010"	21	1821982	1.2
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2011"	"2011"	20	1915754	1.0
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2012"	"2012"	17	1978340	Unreliable
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2013"	"2013"	23	2046887	1.1
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2014"	"2014"	22	2101295	1.0
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2015"	"2015"	20	2161291	0.9
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2016"	"2016"	15	2210123	Unreliable
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2017"	"2017"	26	2244682	1.2
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"2018"	"2018"	24	2291609	1.0
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	1025498	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	1023387	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	981958	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	970771	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	981961	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	980963	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	969811	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	974444	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	977107	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	977907	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	963527	Suppressed
	"Census Region 4: West"	"CENS-R4"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	941687	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	3917110	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	3972679	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	4006091	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	3999634	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2011"	"2011"	Suppressed	3987406	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	3957561	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2013"	"2013"	Suppressed	3909314	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	3908181	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2015"	"2015"	Suppressed	3898617	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2016"	"2016"	10	3906362	Unreliable
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	3906369	Suppressed
	"Census Region 4: West"	"CENS-R4"	"1-4 years"	"1-4"	"2018"	"2018"	Suppressed	3888169	Suppressed
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2007"	"2007"	16	9657191	Unreliable
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2008"	"2008"	13	9703249	Unreliable
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	9782565	Suppressed
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2010"	"2010"	15	9856829	Unreliable
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2011"	"2011"	10	9882097	Unreliable
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2012"	"2012"	Suppressed	9909417	Suppressed
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	9955565	Suppressed
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	9966337	Suppressed
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2015"	"2015"	Suppressed	9971148	Suppressed
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	9978885	Suppressed
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2017"	"2017"	Suppressed	10002757	Suppressed
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"2018"	"2018"	Suppressed	10019526	Suppressed
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2007"	"2007"	460	10250009	4.5
