"Statistics for community hospital stays 2016 Maryland, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Maryland | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
,Uninsured,32,†,3.21875,103,†,6431.7047537009,205814.552118428,†,
,Other,87,†,6.3793103448,555,†,22122.6405110519,1924669.72446152,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,95,108.6956521739,2.4736842105,235,268.8787185355,7166.7563626771,680841.854454321,†,
,Neonatal birth hospitalization,50,55.9284116331,4.4,220,246.0850111857,4284.5663736174,214228.318680868,†,
,Nonmaternal/nonneonatal hospitalization,2619,351.6852423795,5.3589156166,14035,1884.6515375319,14840.0480682737,38866085.8908088,†,
Type of substance use disorder,Alcohol-related disorders,494,531.4456612948,5.2914979757,2614,2812.1436409407,15524.38259388,7669045.00137672,82.503657738,
,Cannabis-related disorders,204,219.4633904942,5.1764705882,1056,1136.0457860877,11454.0615057215,2336628.54716718,25.1374717298,
,Neonatal abstinence syndrome,51,54.8658476236,7.2941176471,372,400.1979473718,9218.9025148401,470164.028256846,5.0580290064,
,Opioid-related disorders,343,368.9997202918,4.7871720117,1642,1766.4651332917,12122.5382848119,4158030.63169049,44.7321323632,
,Sedative-related disorders,30,32.2740280139,5,150,161.3701400693,12342.7251117818,370281.753353454,3.9834945602,
,Stimulant-related disorders,96,103.2768896443,5.90625,567,609.9791294619,11883.1453897501,1140781.95741601,12.2725429504,
,Miscellaneous substances and addictive disorders,120,129.0961120554,3.8416666667,461,495.9442304796,9672.9651642127,1160755.81970552,12.4874219475,
Type of mental disorder,Anxiety disorders,995,1070.4219291262,5.3105527638,5284,5684.5321341739,15795.5620115009,15716584.2014434,169.0791595998,
,Bipolar disorders,219,235.6004045012,5.9178082192,1296,1394.2380101986,11870.2695670931,2599589.0351934,27.9664031154,
,Depressive disorders,1260,1355.509176582,5.146031746,6484,6975.4932547281,13725.4433363153,17294058.6037573,186.0496439503,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,21,22.5918196097,3.2380952381,68,73.1544634981,9372.3800789692,196819.981658354,2.1173912006,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,20,21.5160186759,4.85,97,104.3526905781,7119.1268438302,142382.536876604,1.5317526613,
,Schizophrenia and related disorders,110,118.3381027175,6.1181818182,673,724.0140284442,12431.5333336434,1367468.66670077,14.7112406857,
,Somatic symptom disorders,14,15.0612130731,8.2142857143,115,123.7171073864,18517.5342620739,259245.479669035,2.7889652911,
,Suicidal ideation or attempt,169,181.8103578114,5.2189349112,882,948.8564236074,9701.1509605076,1639494.51232579,17.6376972731,
,Trauma- and stressor-related disorders,145,155.9911354003,5.724137931,830,892.91477505,14713.8953128251,2133514.82035963,22.9523723601,
,Miscellaneous mental disorders,67,72.0786625643,2.8955223881,194,208.7053811563,6410.1074239935,429477.197407563,4.6203197001,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Caroline, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Caroline, Maryland",,1251,3719.3399732421,5.4252597922,6787,20178.3856102274,12230.3384642026,15300153.4187175,454.8878673619,
Age group,<1,20,4854.3689320388,11.9,238,57766.9902912621,12395.3625621568,247907.251243136,601.7166292309,
,1-17,20,267.3439379762,4.7,94,1256.5165084882,11327.8744174928,226557.488349856,30.2843855567,
,18-44,307,2824.8067721752,4.4104234528,1354,12458.5940375414,9151.0350896841,2809367.77253302,258.4990589375,
,45-64,430,4552.6733721546,4.9930232558,2147,22731.6040232927,13609.7046239403,5852172.98829435,619.605398443,
,65-84,473,8712.4700681525,6.2389006342,2951,54356.2350340762,13012.3478809085,6154840.54766971,1133.696914288,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,500,3063.1624088709,5.666,2833,17355.8782086626,12688.0386313813,6344019.31569068,388.6552297795,
,Female,749,4326.4787430684,5.2603471295,3940,22758.7800369685,11930.6647239906,8936067.87826896,516.1776731902,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,606,†,6.0627062706,3674,†,12650.6166203816,7666273.67195125,†,
,Medicaid,365,†,5.4383561644,1985,†,11931.8674709752,4355131.62690596,†,
,Private insurance,250,†,3.936,984,†,11936.1279901108,2984031.99752771,†,
,Uninsured,17,†,2.4705882353,42,†,4491.6142459787,76357.4421816381,†,
,Other,13,†,7.8461538462,102,†,16796.8215500757,218358.680150984,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,35,92.3482849604,2.6571428571,93,245.382585752,6374.94591378,223123.106982299,†,
,Neonatal birth hospitalization,18,45.8015267176,9.5,171,435.1145038168,6911.8366607676,124413.059893817,†,
,Nonmaternal/nonneonatal hospitalization,1198,349.9853929302,5.4449081803,6523,1905.6383289512,12481.3165708192,14952617.2518414,†,
Type of substance use disorder,Alcohol-related disorders,183,544.0761111937,5.4262295082,993,2952.2818492641,14501.2279812144,2653724.72056223,78.8977172755,
,Cannabis-related disorders,75,222.9820127843,4.04,303,900.8473316486,6685.0919671305,501381.897534789,14.9065526248,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,146,434.0716515534,5.5068493151,804,2390.3671770477,12263.8633007695,1790524.04191235,53.2339539739,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,45,133.7892076706,4.5555555556,205,609.4841682771,8459.5496394014,380679.733773064,11.3179644351,
,Miscellaneous substances and addictive disorders,55,163.5201427085,4.8909090909,269,799.7621525197,7481.5272022092,411483.996121505,12.2338039578,
Type of mental disorder,Anxiety disorders,560,1664.9323621228,5.0857142857,2848,8467.3702987959,11162.2502436035,6250860.13641796,185.8439166469,
,Bipolar disorders,145,431.0985580497,5.4137931034,785,2333.8784004757,9821.569563413,1424127.58669489,42.3406447657,
,Depressive disorders,525,1560.8740894901,5.7504761905,3019,8975.7692879441,13276.0463295844,6969924.32303183,207.2223672672,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,16,47.5694960607,7.5625,121,359.7443139587,13408.162965655,214530.607450481,6.3781955538,
,Personality disorders,23,68.3811505872,5.9565217391,137,407.3138100193,8594.5188663674,197673.93392645,5.8770308883,
,Schizophrenia and related disorders,69,205.1434517616,7.5362318841,520,1546.0086219712,10541.3754601334,727354.906749207,21.6249414821,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,68,202.1703582578,6.3970588235,435,1293.2956741489,8421.783553713,572681.281652481,17.0263499822,
,Trauma- and stressor-related disorders,62,184.331797235,5.9677419355,370,1100.0445964026,11936.0374478176,740034.321764694,22.0019123462,
,Miscellaneous mental disorders,33,98.1120856251,4,132,392.4483425004,9366.3561312688,309089.752331869,9.1895273475,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Carroll, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Carroll, Maryland",,5280,3390.7012586694,5.0371212121,26596,17079.3732340097,13959.4959865288,73706138.8088723,473.3248061191,
Age group,<1,54,3569.0680766689,14.1111111111,762,50363.516192994,16438.7191768683,887690.835550888,586.7090783549,
,1-17,131,415.4114475979,5.9465648855,779,2470.2711273189,13033.9256397973,1707444.25881344,54.1444191791,
,18-44,1316,2687.6340243031,4.3806990881,5765,11773.7159195343,10174.3081748495,13389389.558102,273.4481682447,
,45-64,1810,3737.2757118375,5.1701657459,9358,19322.3348681629,15944.6301632487,28859780.5954801,595.8947904334,
,65-84,1969,7789.9984174711,5.0441848654,9932,39294.1921190061,14658.1176033143,28861833.5609258,1141.8671293292,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,2155,2800.2286961719,5.2928074246,11406,14821.0712336599,14133.7361950376,30458201.5003061,395.7769367747,
,Female,3117,3957.492191666,4.8575553417,15141,19223.7373352632,13841.7450173917,43144719.2192101,547.7859782536,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,2433,†,5.1845458282,12614,†,14565.9244865663,35438894.275816,†,
,Medicaid,1195,†,5.6510460251,6753,†,13203.7335949171,15778461.6459259,†,
,Private insurance,1526,†,4.4226736566,6749,†,13848.3672975868,21132608.4961175,†,
,Uninsured,42,†,2.880952381,121,†,4665.5061742044,195951.259316585,†,
,Other,66,†,4.4090909091,291,†,14730.9765077203,972244.449509546,†,
,Missing,18,†,3.7777777778,68,†,10443.2601214832,187978.682186698,†,
Type of stay,Maternal delivery hospitalization,185,124.8313090418,2.6432432432,489,329.95951417,7219.2988522929,1335570.28767418,†,
,Neonatal birth hospitalization,46,30.4635761589,13.847826087,637,421.8543046358,13988.8011922582,643484.854843879,†,
,Nonmaternal/nonneonatal hospitalization,5049,403.2103497844,5.0445632799,25470,2034.0201245807,14206.1960123498,71727083.6663543,†,
Type of substance use disorder,Alcohol-related disorders,771,495.119445158,5.1530479896,3973,2551.374261495,13998.2733468334,10792668.7504085,69.3081733265,
,Cannabis-related disorders,323,207.423580786,4.7708978328,1541,989.5967120473,10188.0520844621,3290740.82328128,21.1324224459,
,Neonatal abstinence syndrome,24,15.4122784485,20.875,501,321.7313126124,20950.7312875144,502817.550900347,3.228985043,
,Opioid-related disorders,682,437.9655792448,5.0410557185,3438,2207.8088877472,12044.2886363165,8214204.84996792,52.749838492,
,Sedative-related disorders,104,66.7865399435,5.6730769231,590,378.8851785256,9726.3986143021,1011545.45588741,6.4959250956,
,Stimulant-related disorders,236,151.5540714102,5,1180,757.7703570511,9305.8729643735,2196186.01959214,14.1034293578,
,Miscellaneous substances and addictive disorders,176,113.023375289,4.3977272727,774,497.045979964,8319.1735608964,1464174.54671776,9.4026107547,
Type of mental disorder,Anxiety disorders,2693,1729.3860775751,4.9093947271,13221,8490.2388903159,14104.7522882232,37984097.9121852,243.925622349,
,Bipolar disorders,630,404.5723092731,5.0968253968,3211,2062.0344207552,10906.4814514685,6871083.31442521,44.1246038686,
,Depressive disorders,2765,1775.6229129206,4.7182640145,13046,8377.8576932957,13231.3391098375,36584652.6387007,234.9386889205,
,"Disruptive, impulse-control, and conduct disorders",21,13.4857436424,7.9523809524,167,107.2437708708,11423.9705685289,239903.381939109,1.5406073847,
,Eating disorders,19,12.2013871051,8.8947368421,169,108.5281274082,15258.3382756217,289908.427236813,1.8617289188,
,Obsessive-compulsive disorders,31,19.9075263293,6.8064516129,211,135.499614693,10873.7416838474,337085.992199269,2.1646929887,
,Personality disorders,66,42.3837657334,6.8484848485,452,290.2645774467,10394.843842099,686059.693578535,4.4057262624,
,Schizophrenia and related disorders,247,158.6180323658,7.0809716599,1749,1123.1697919342,12181.6681887642,3008872.04262477,19.3223223903,
,Somatic symptom disorders,30,19.2653480606,10.3666666667,311,199.7174415618,17875.7329937658,536271.989812974,3.4438221796,
,Suicidal ideation or attempt,472,303.1081428204,5.1843220339,2447,1571.410223478,8419.1557910171,3973841.53336009,25.5191467593,
,Trauma- and stressor-related disorders,288,184.947341382,6.3645833333,1833,1177.112766504,13120.3119485919,3778649.84119448,24.2656681299,
,Miscellaneous mental disorders,222,142.5635756486,3.5720720721,793,509.2473670691,8177.2375846354,1815346.74378906,11.6577622899,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Cecil, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Cecil, Maryland",,4160,4045.0006320313,4.8367788462,20121,19564.7734896881,13310.5351262271,55371826.1251048,538.4112299826,
Age group,<1,88,7357.8595317726,11.625,1023,85535.1170568562,19634.1925933825,1727808.94821766,1444.6563112188,
,1-17,45,200.7226013649,4.5333333333,204,909.9424595209,16449.0783138005,740208.524121025,33.017017892,
,18-44,1276,3761.4597765528,4.0078369906,5114,15075.3176311057,10509.4549765991,13410064.5501404,395.3089216797,
,45-64,1586,5242.1087423566,4.89407314,7762,25655.2635927945,14563.0357378391,23096974.6802129,763.4101695658,
,65-84,1162,7720.9302325581,5.1746987952,6013,39953.488372093,14098.8121349872,16382819.7008551,1088.5594485618,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1853,3635.8285097616,5.3955747437,9998,19617.3844795447,14150.3544177739,26220606.7361352,514.4826201537,
,Female,2304,4441.18894329,4.3923611111,10120,19507.3056016037,12646.3397519204,29137166.7884246,561.6478427932,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1687,†,5.0865441612,8581,†,13767.1632277792,23225204.3652636,†,
,Medicaid,1340,†,5.0865671642,6816,†,12959.8130033485,17366149.424487,†,
,Private insurance,981,†,4.0601427115,3983,†,12901.2180716072,12656094.9282467,†,
,Uninsured,67,†,3.4776119403,233,†,7763.028653023,520122.919752543,†,
,Other,84,†,6.0119047619,505,†,19062.5278092812,1601252.33597962,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,286,268.7969924812,2.3426573427,670,629.6992481203,8729.6794713171,2496688.32879669,†,
,Neonatal birth hospitalization,75,68.4931506849,10.3733333333,778,710.502283105,15203.114997565,1140233.62481737,†,
,Nonmaternal/nonneonatal hospitalization,3799,378.1604618754,4.9152408529,18673,1858.7497511447,13618.0321588551,51734904.1714907,†,
Type of substance use disorder,Alcohol-related disorders,718,698.1515513939,4.9721448468,3570,3471.3106385461,12416.37524612,8914957.42671417,86.6851164077,
,Cannabis-related disorders,299,290.7344204273,3.9765886288,1189,1156.1311902609,8363.114038506,2500571.09751329,24.3144511295,
,Neonatal abstinence syndrome,59,57.3689993485,14.3050847458,844,820.6683974602,23820.0184237893,1405381.08700356,13.6653062144,
,Opioid-related disorders,693,673.8426533648,4.9480519481,3429,3334.2084536624,13041.5340410147,9037783.09042324,87.8794190215,
,Sedative-related disorders,97,94.3185243527,4.0515463918,393,382.1358770164,10239.9663687744,993276.737771117,9.6581851732,
,Stimulant-related disorders,238,231.4207092364,4.487394958,1068,1038.4761238004,9177.3532838029,2184210.0815451,21.2382960585,
,Miscellaneous substances and addictive disorders,302,293.6514881907,3.5562913907,1074,1044.3102593273,8948.0319645555,2702305.65329575,26.2760290277,
Type of mental disorder,Anxiety disorders,1936,1882.4810633684,4.3977272727,8514,8278.638312768,13314.8320920679,25777514.9302436,250.6491927525,
,Bipolar disorders,699,679.6767888918,4.4048640916,3079,2993.8838812559,9621.8558849203,6725677.2635593,65.3975211104,
,Depressive disorders,1704,1656.894489659,4.5322769953,7723,7509.5047791294,12373.9515963858,21085213.5202414,205.0233221536,
,"Disruptive, impulse-control, and conduct disorders",24,23.3365421079,5.6666666667,136,132.2404052779,11588.9961819556,278135.908366935,2.7044709739,
,Eating disorders,17,16.5300506597,5.7058823529,97,94.3185243527,11627.2635282516,197663.479980277,1.9219925516,
,Obsessive-compulsive disorders,36,35.0048131618,4.2222222222,152,147.7981000165,8367.5568482183,301232.04653586,2.9290476409,
,Personality disorders,202,196.4158960746,4.1485148515,838,814.8342619332,7430.0100419494,1500862.02847378,14.5937208023,
,Schizophrenia and related disorders,291,282.955573058,6.3298969072,1842,1791.0796067793,11554.0952899361,3362241.72937141,32.6929565393,
,Somatic symptom disorders,12,11.6682710539,3.25,39,37.9218809253,11089.1840075095,133070.208090115,1.2939160477,
,Suicidal ideation or attempt,436,423.9471816264,4.4059633028,1921,1867.895724551,7097.093552031,3094332.78868551,30.0879280912,
,Trauma- and stressor-related disorders,299,290.7344204273,4.6120401338,1379,1340.8788152815,10404.0452853239,3110809.54031187,30.2481407613,
,Miscellaneous mental disorders,294,285.8726408214,3.268707483,961,934.4340402361,9184.1961703231,2700153.67407499,26.2551041303,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Charles, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Charles, Maryland",,3414,2163.1142763008,5.8268892794,19893,12604.2273867754,15143.7613378562,51700801.2074413,327.5768634681,
Age group,<1,51,2738.9903329753,10.1568627451,518,27819.5488721804,14913.7841621603,760602.992270179,408.4871064824,
,1-17,134,373.4462961931,7.0149253731,940,2619.6978986679,15841.0529816136,2122701.09953623,59.1578256378,
,18-44,1032,1856.1151079137,5.0329457364,5194,9341.726618705,12195.135743939,12585380.087745,226.3557569738,
,45-64,1252,2736.7914835945,5.7571884984,7208,15756.2244518766,16166.5024970212,20240461.1262705,442.4434635336,
,65-84,945,5043.496824465,6.3841269841,6033,32198.3241714255,16922.3871974807,15991655.9016192,853.4800609286,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1548,2029.3388917293,6.4573643411,9996,13104.18059543,16227.347402089,25119933.7784337,329.3078719266,
,Female,1863,2284.5720872626,5.2764358561,9830,12054.3980771824,14212.4337261392,26477764.0317974,324.6932938281,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1278,†,6.4483568075,8241,†,16999.0088090886,21724733.2580152,†,
,Medicaid,885,†,5.7649717514,5102,†,13242.4472758276,11719565.8391074,†,
,Private insurance,1115,†,5.2251121076,5826,†,14836.374096,16542557.11704,†,
,Uninsured,46,†,4.5869565217,211,†,8270.6961936902,380452.024909749,†,
,Other,88,†,5.7272727273,504,†,14823.3683796021,1304456.41740498,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,105,64.0243902439,2.5333333333,266,162.1951219512,7132.5340128492,748916.071349165,†,
,Neonatal birth hospitalization,34,20.4204204204,7.4411764706,253,151.951951952,8145.5750723057,276949.552458395,†,
,Nonmaternal/nonneonatal hospitalization,3275,262.7778223542,5.9157251908,19374,1554.5213832946,15473.2627736286,50674935.5836338,†,
Type of substance use disorder,Alcohol-related disorders,640,405.5047266645,6.18125,3956,2506.5260916947,14932.1406390969,9556570.00902201,60.5505360837,
,Cannabis-related disorders,235,148.8962668221,4.8212765957,1133,717.8700864232,12591.1735734628,2958925.78976377,18.7477874,
,Neonatal abstinence syndrome,33,20.9088374686,10.5757575758,349,221.1267962592,14533.5808048293,479608.166559369,3.0388027889,
,Opioid-related disorders,322,204.0195656031,5.9347826087,1911,1210.8117697747,14826.0826996236,4773998.62927883,30.2481095197,
,Sedative-related disorders,26,16.4736295207,6.4230769231,167,105.811389614,13747.567290814,357436.749561164,2.2647233036,
,Stimulant-related disorders,123,77.9329396558,5.487804878,675,427.6807664039,11949.0505906255,1469733.22264693,9.3122463862,
,Miscellaneous substances and addictive disorders,147,93.1393669057,4.6394557823,682,432.1159743518,8785.9221527992,1291530.55646148,8.1831522699,
Type of mental disorder,Anxiety disorders,1213,768.5581772563,5.6735366859,6882,4360.4430139139,16261.3969807713,19725074.5376755,124.9782962318,
,Bipolar disorders,371,235.0660212383,5.3315363881,1978,1253.2630458474,11760.2507312882,4363053.02130794,27.6443534817,
,Depressive disorders,1259,797.7038294853,5.687847498,7161,4537.2177306942,14447.9145770504,18189924.4525065,115.2515678619,
,"Disruptive, impulse-control, and conduct disorders",22,13.9392249791,12.5909090909,277,175.5075145095,18297.8037331888,402551.682130155,2.5505720286,
,Eating disorders,24,15.2064272499,7.3333333333,176,111.5137998327,16563.1500882574,397515.602118179,2.5186633685,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,23,14.5728261145,7.5652173913,174,110.2465975619,10565.0292269525,242995.672219908,1.5396233382,
,Schizophrenia and related disorders,258,163.4690929366,6.6201550388,1708,1082.1907392858,11377.3333071595,2935351.99324715,18.5984235576,
,Somatic symptom disorders,17,10.771219302,4.5294117647,77,48.7872874268,9487.6865589494,161290.671502138,1.021939526,
,Suicidal ideation or attempt,238,150.7970702283,4.512605042,1074,680.4876194338,7332.8021046247,1745206.90090069,11.0576507394,
,Trauma- and stressor-related disorders,236,149.5298679575,6.9830508475,1648,1044.174671161,14932.3245085406,3524028.5840156,22.3282851206,
,Miscellaneous mental disorders,117,74.1313328433,3.641025641,426,269.914083686,8446.496533676,988240.094440086,6.261500459,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
