"Statistics for community hospital stays 2016 New Jersey, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: New Jersey | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
,Medicaid,5742,†,5.8833159178,33782,†,10936.2576480099,62795991.4148728,†,
,Private insurance,5852,†,5.045796309,29528,†,12985.3996155554,75990558.5502305,†,
,Other,307,†,5.3778501629,1651,†,13392.7459992003,4111573.02175449,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,689,113.5464733026,3.2685050798,2252,371.1272247858,5927.9801333055,4084378.3118475,†,
,Neonatal birth hospitalization,149,24.0516545601,19.389261745,2889,466.3438256659,27602.2075464685,4112728.92442381,†,
,Nonmaternal/nonneonatal hospitalization,21339,350.0434704155,5.486761329,117082,1920.6049769525,12733.0641449685,271710855.789483,†,
Type of substance use disorder,Alcohol-related disorders,3745,715.3895673469,5.6165554072,21034,4018.0251427436,12604.6033825278,47204239.6675668,90.1720176041,
,Cannabis-related disorders,1767,337.5416196267,4.8675721562,8601,1643.0081892525,8465.2321451468,14958065.2004744,28.5736816879,
,Neonatal abstinence syndrome,77,14.7089443754,28.3506493506,2183,417.008124304,46413.7321140613,3573857.37278272,6.8269700392,
,Opioid-related disorders,3047,582.0539417106,5.3085001641,16175,3089.8334450831,10414.6415856513,31733412.9114797,60.6188318643,
,Sedative-related disorders,490,93.6023732977,6.6224489796,3245,619.8769415329,9940.3761707721,4870784.32367835,9.3044280106,
,Stimulant-related disorders,1957,373.836417436,5.3132345427,10398,1986.2805664281,9019.345579084,17650859.2982674,33.717598389,
,Miscellaneous substances and addictive disorders,985,188.1598728536,5.5319796954,5449,1040.896596121,9112.1571878963,8975474.83007783,17.145423379,
Type of mental disorder,Anxiety disorders,10302,1967.9421422718,5.1656959814,53217,10165.7908158879,12432.3884703221,128078466.021258,244.6622119984,
,Bipolar disorders,2343,447.5721645644,5.7276995305,13420,2563.5588768479,10553.5475104418,24726961.8169653,47.2347410308,
,Depressive disorders,9375,1790.8617340126,5.2283733333,49016,9363.2937337987,11932.9069384112,111871002.547605,213.7018641153,
,"Disruptive, impulse-control, and conduct disorders",178,34.0024947898,4.9438202247,880,168.1022214327,7710.4989240947,1372468.80848885,2.6217619949,
,Eating disorders,110,21.0127776791,8.8545454545,974,186.0585950857,13315.1286747922,1464664.15422714,2.7978783861,
,Obsessive-compulsive disorders,117,22.3499544405,7.3760683761,863,164.854792155,13659.6483551835,1598178.85755647,3.0529251841,
,Personality disorders,635,121.3010347838,5.4409448819,3455,659.9922443748,7144.448828026,4536725.00579652,8.666290358,
,Schizophrenia and related disorders,1965,375.364619449,7.1969465649,14142,2701.4791085234,11130.8800653845,21872179.3284806,41.7813855988,
,Somatic symptom disorders,111,21.2038029307,5.954954955,661,126.2676913261,12765.5389985985,1416974.82884443,2.7067797323,
,Suicidal ideation or attempt,1682,321.3044732383,6.2705112961,10547,2014.7433289206,8242.6161300615,13864080.3307634,26.4838943378,
,Trauma- and stressor-related disorders,1733,331.0467610713,6.6451240623,11516,2199.8467977482,12207.7639668999,21156054.9546375,40.4134072117,
,Miscellaneous mental disorders,951,181.6650142982,4.4479495268,4230,808.0368143865,7316.2346148075,6957739.11868188,13.2910386591,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Cape May, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Cape May, New Jersey",,3752,3938.4046941753,5.0599680171,18985,19928.2017907565,12894.4860821424,48380111.7801983,507.8370451489,
Age group,<1,30,3264.4178454842,19.6666666667,590,64200.2176278563,20102.8053184704,603084.159554112,656.2395642591,
,1-17,93,581.1410360557,8.5053763441,791,4942.8232206461,10842.4762791679,1008350.29396261,63.0100789829,
,18-44,879,3288.8090694803,4.7303754266,4158,15557.3016051184,9870.4211352304,8676100.17786749,324.6193054914,
,45-64,1415,5004.2438817372,5.0855123675,7196,25449.1441505163,14090.3409035242,19937832.3784868,705.1150225805,
,65-84,1334,5715.0201353783,4.6836581709,6248,26767.2007540056,13604.9734125526,18149034.5323452,777.5269699402,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1709,3672.4256489599,5.4868344061,9377,20149.991404504,13992.6711897754,23913475.0633261,513.8704457479,
,Female,2038,4182.1427838542,4.7070657507,9593,19685.6210625679,11972.0121013103,24398960.6624704,500.6866401771,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1833,†,4.9765411893,9122,†,14044.2204157904,25743056.0221438,†,
,Medicaid,1058,†,5.3166351607,5625,†,9747.4114223844,10312761.2848826,†,
,Private insurance,706,†,4.7365439093,3344,†,14341.3450372015,10124989.5962642,†,
,Uninsured,91,†,5.4065934066,492,†,12017.3213699994,1093576.24466994,†,
,Other,63,†,6.253968254,394,†,17434.5510556164,1098376.71650383,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,44,53.5279805353,2.8181818182,124,150.8515815085,5455.4247948714,240038.690974341,†,
,Neonatal birth hospitalization,29,34.6062052506,20.3448275862,590,704.0572792363,20760.4370212663,602052.673616725,†,
,Nonmaternal/nonneonatal hospitalization,3679,291.9609554797,4.9662951889,18271,1449.9642885485,12921.4515943482,47538020.4156073,†,
Type of substance use disorder,Alcohol-related disorders,702,736.8763580253,5.4145299145,3801,3989.8390838381,13828.4976835826,9707605.37387504,101.8989301004,
,Cannabis-related disorders,200,209.9362843377,5.035,1007,1057.0291916403,8903.0908694255,1780618.17388509,18.6908181625,
,Neonatal abstinence syndrome,21,22.0433098555,23.1428571429,486,510.1451709406,23166.4678197462,486495.824214671,5.1066562841,
,Opioid-related disorders,559,586.7719147239,5.0894454383,2845,2986.3436447038,11002.0885529425,6150167.50109489,64.5571656617,
,Sedative-related disorders,61,64.030566723,7.1147540984,434,455.5617370128,10326.5953682471,629922.317463077,6.6121775375,
,Stimulant-related disorders,131,137.5082662412,6.2671755725,821,861.7884472063,10244.307966669,1342004.34363363,14.0867702734,
,Miscellaneous substances and addictive disorders,91,95.5210093737,5.4175824176,493,517.4929408924,9600.4899278086,873644.583430586,9.1704848839,
Type of mental disorder,Anxiety disorders,1491,1565.0749997376,4.7317236754,7055,7405.5024300125,12951.5872790436,19310816.6330541,202.7020545735,
,Bipolar disorders,393,412.5247987236,5.5470737913,2180,2288.305499281,10478.8965407717,4118206.34052331,43.2280468633,
,Depressive disorders,1481,1554.5781855207,4.6900742741,6946,7291.0871550484,12288.5058830557,18199277.2128056,191.0344317844,
,"Disruptive, impulse-control, and conduct disorders",61,64.030566723,5.8852459016,359,376.8356303862,7838.4692674481,478146.625314332,5.0190162944,
,Eating disorders,47,49.3350268194,6.6170212766,311,326.4509221451,13978.6829817486,656998.100142184,6.896386998,
,Obsessive-compulsive disorders,22,23.0929912771,7.2272727273,159,166.8993460485,8667.383029552,190682.426650144,2.001558007,
,Personality disorders,51,53.5337525061,5.4705882353,279,292.8611166511,6091.5408751805,310668.584634207,3.2610304159,
,Schizophrenia and related disorders,158,165.8496646268,6.8417721519,1081,1134.7056168453,10982.6503349907,1735258.75292854,18.2146887477,
,Somatic symptom disorders,14,14.6955399036,4.2142857143,59,61.9312038796,11017.1809095191,154240.532733267,1.6190342168,
,Suicidal ideation or attempt,262,275.0165324824,5.7595419847,1509,1583.969265328,6289.446683012,1647835.03094914,17.2970181799,
,Trauma- and stressor-related disorders,225,236.1783198799,5.4577777778,1228,1289.0087858335,11353.201062413,2554470.23904294,26.8137995218,
,Miscellaneous mental disorders,55,57.7324781929,5.1272727273,282,296.0101609162,9848.6273448513,541674.503966819,5.6858566342,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Cumberland, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Cumberland, New Jersey",,6780,4202.3577830393,5.4691740413,37081,22983.426099245,11960.0414847623,81089081.2666886,502.6037341896,
Age group,<1,60,2754.8209366391,19.0166666667,1141,52387.5114784205,39915.9493560492,2394956.96136295,1099.6129299187,
,1-17,199,551.6744289199,5.9145728643,1177,3262.91860723,12248.8177204167,2437514.72636292,67.5735952086,
,18-44,1731,2910.172996419,5.1686886193,8947,15041.7780467712,10240.7868883122,17726802.1036685,298.0246146445,
,45-64,2584,6348.7383602368,5.1702786378,13360,32824.7463207292,12135.0572758807,31356988.0008757,770.4230363106,
,65-84,2206,9630.664454728,5.6464188577,12456,54378.765388981,12317.6878850491,27172819.4744183,1186.2751887898,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,3049,3663.694696114,5.705805182,17397,20904.3281824517,12668.461409297,38626138.8369467,464.1337487317,
,Female,3722,4764.7088944646,5.2796883396,19651,25156.1779917046,11356.0648978642,42267273.5498508,541.0834342497,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,3125,†,5.66656,17708,†,12190.2065779095,38094395.5559672,†,
,Medicaid,1920,†,5.8510416667,11234,†,11808.9994572101,22673278.9578434,†,
,Private insurance,1251,†,4.7138289369,5897,†,12357.6147400104,15459376.039753,†,
,Uninsured,345,†,4.6405797101,1601,†,9308.1479725753,3211311.05053848,†,
,Other,137,†,4.4525547445,610,†,10793.5438299357,1478715.50470119,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,125,68.1198910082,3.928,491,267.5749318801,7918.7205011251,989840.062640638,†,
,Neonatal birth hospitalization,54,29.0010741139,17.8518518519,964,517.7228786251,28819.8614878315,1556272.5203429,†,
,Nonmaternal/nonneonatal hospitalization,6601,349.5181616012,5.3970610514,35626,1886.3708567193,11898.646975262,78542968.683705,†,
Type of substance use disorder,Alcohol-related disorders,1143,708.450582008,5.1347331584,5869,3637.7046944923,11101.5089235027,12689024.6995636,78.6487045802,
,Cannabis-related disorders,392,242.9681786064,4.8852040816,1915,1186.9491378349,8609.2270881904,3374817.01857064,20.9176822483,
,Neonatal abstinence syndrome,41,25.4124880685,23.4146341463,960,595.0241108728,46880.4531336456,1922098.57847947,11.9134895591,
,Opioid-related disorders,825,511.3488452813,5.8072727273,4791,2969.5422033247,11637.1627386911,9600659.25942019,59.5064972878,
,Sedative-related disorders,111,68.7996628197,5.981981982,664,411.5583433537,11126.9900874364,1235095.89970544,7.6553316621,
,Stimulant-related disorders,359,222.5142247951,5.008356546,1798,1114.4305743222,10058.2261124976,3610903.17438666,22.3809838624,
,Miscellaneous substances and addictive disorders,217,134.5002417285,4.3502304147,944,585.1070423583,8748.7889697903,1898487.20644448,11.7671423127,
Type of mental disorder,Anxiety disorders,3109,1927.0103757329,5.2187198456,16225,10056.5272905329,11755.9576101451,36549272.2099412,226.5385229143,
,Bipolar disorders,679,420.8555950861,5.646539028,3834,2376.3775427983,10188.591499011,6918053.62782852,42.8792573841,
,Depressive disorders,2911,1804.2866528654,5.3668842322,15623,9683.3975876731,11278.4946276694,32831697.8611457,203.4963732112,
,"Disruptive, impulse-control, and conduct disorders",67,41.5277244047,6.7014925373,449,278.2977351895,11260.3075196359,754440.603815607,4.6761494739,
,Eating disorders,47,29.1313887615,6.9361702128,326,202.0602709839,13171.2934471001,619050.792013707,3.836980699,
,Obsessive-compulsive disorders,29,17.9746866826,5.724137931,166,102.8895858384,13248.0594716017,384193.724676451,2.3812971815,
,Personality disorders,223,138.2191424215,5.9282511211,1322,819.3977860145,8168.0216542441,1821468.82889643,11.2897694833,
,Schizophrenia and related disorders,558,345.8577644448,7.2831541219,4064,2518.935402695,10325.4518700473,5761602.1434864,35.7113770066,
,Somatic symptom disorders,39,24.1728545042,4.2564102564,166,102.8895858384,9237.0290779043,360244.134038267,2.2328535995,
,Suicidal ideation or attempt,441,273.3392009322,5.7551020408,2538,1573.09499312,7415.7622242213,3270351.14088158,20.2701852067,
,Trauma- and stressor-related disorders,402,249.166346428,6.1467661692,2471,1531.5672687154,12100.3765025955,4864351.35404342,30.1500660355,
,Miscellaneous mental disorders,164,101.6499522741,4.993902439,819,507.6299445884,7878.6990012057,1292106.63619773,8.0086937745,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Essex, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Essex, New Jersey",,23051,2876.703951958,6.5414138628,150786.130950927,18817.7111104503,13671.9894441348,315153028.676753,393.3026606507,
Age group,<1,113,1070.7855586089,20.1150442478,2273,21538.8988913105,36660.1115319938,4142592.6031153,392.5511800545,
,1-17,756,415.7432510462,6.8968253968,5214,2867.3086123744,12192.9921105731,9217902.03559329,50.6915418003,
,18-44,7490,2563.6549710605,6.108811749,45755,15660.885607593,11159.0675969456,83581416.3011231,286.0799911731,
,45-64,9322,4388.6822654301,6.5970821712,61498,28952.4975283649,14406.5878833092,134298212.248208,632.2593674884,
,65-84,5368,5145.1136755741,6.711835125,36029.1309509277,34533.154689767,15622.2931466076,83860469.6109896,803.7847411244,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,11045,2861.2877737912,6.8066998642,75180,19475.9271012784,14268.444460703,157594969.068464,408.2612568643,
,Female,11990,2887.1808208359,6.2977590451,75510.1309509277,18182.7691293013,13118.7080202039,157293309.162245,378.7608219008,
,Missing,16,†,6,96,†,16546.9028777236,264750.446043579,†,
Payer,Medicare,7636,†,6.9307228916,52923,†,14493.8071585652,110674711.462804,†,
,Medicaid,7026,†,6.8969541702,48458,†,12293.0260134945,86370800.7708123,†,
,Private insurance,6691,†,5.7520549993,38487,†,13999.8298302721,93672861.3943512,†,
,Uninsured,1531,†,6.2829072181,9619.1309509277,†,13709.1640795386,20988730.2057737,†,
,Other,167,†,7.7784431138,1299,†,20634.2804970772,3445924.8430119,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,477,47.0971563981,3.2389937107,1545,152.5473933649,6522.897537623,3111422.12544616,†,
,Neonatal birth hospitalization,100,9.7361503262,19.78,1978,192.5810534515,33339.7556781199,3333975.56781199,†,
,Nonmaternal/nonneonatal hospitalization,22474,293.3636173768,6.5525999355,147263.130950927,1922.2944203076,13736.2121110391,308707630.983494,†,
Type of substance use disorder,Alcohol-related disorders,4471,557.9689978398,5.7535227019,25724,3210.2872960031,13393.1281781715,59880676.0846051,74.7295030751,
,Cannabis-related disorders,2016,251.5914783371,5.7286706349,11549,1441.2847139457,10382.86020746,20931846.1782395,26.1223914896,
,Neonatal abstinence syndrome,48,5.9902732937,33.0208333333,1585,197.8038160537,55286.5975723044,2653756.68347061,3.3118182894,
,Opioid-related disorders,3708,462.7486119414,5.938781014,22021,2748.1626708632,13867.6753750817,51421340.2908031,64.1724753067,
,Sedative-related disorders,255,31.823326873,5.137254902,1310,163.484541975,8933.8979645171,2278143.98095186,2.8430635517,
,Stimulant-related disorders,2110,263.322430204,5.993426991,12646.1309509277,1578.2037605098,12643.5571211538,26677905.5256346,33.2933218756,
,Miscellaneous substances and addictive disorders,1380,172.220357195,5.931884058,8186,1021.5911913031,11754.2822444019,16220909.4972746,20.243266867,
Type of mental disorder,Anxiety disorders,6164,769.2509288044,5.9495457495,36673,4576.6935937771,14079.3740377586,86785261.5687441,108.3057155553,
,Bipolar disorders,2468,307.9998851864,6.5737439222,16224,2024.7123732839,10784.0086887554,26614933.4438485,33.2147343799,
,Depressive disorders,6848,854.6123232401,5.984375,40981,5114.3206218902,12275.7198899131,84064129.8061253,104.9098149456,
,"Disruptive, impulse-control, and conduct disorders",374,46.6742127471,7.1737967914,2683,334.831317648,8554.0346862317,3199208.97265065,3.9925283479,
,Eating disorders,104,12.9789254698,10.9519230769,1139,142.144193366,19186.3845537948,1995383.99359466,2.4901865516,
,Obsessive-compulsive disorders,112,13.9773043521,7.6875,861,107.4505272064,15003.1085651678,1680348.15929879,2.0970301464,
,Personality disorders,514,64.1458431871,6.2607003891,3218,401.5979054011,8339.580021155,4286544.13087369,5.3494939228,
,Schizophrenia and related disorders,4241,529.2656049739,9.141476067,38769,4838.268860937,12657.2171825081,53679258.0710171,66.9902970939,
,Somatic symptom disorders,143,17.8460225209,7.6013986014,1087,135.6547306311,15385.9276558558,2200187.65478738,2.7457761145,
,Suicidal ideation or attempt,1844,230.1263323678,6.6708953096,12301.1309509277,1535.1486712111,9861.4053516959,18184431.4685272,22.6936904558,
,Trauma- and stressor-related disorders,1266,157.9934581224,7.2141634683,9133.1309509277,1139.7906338243,16222.8887452823,20538177.1515275,25.631102936,
,Miscellaneous mental disorders,677,84.4878129138,5.3914327917,3650,455.5103650448,9347.6547242219,6328362.24829821,7.8976290352,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Gloucester, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Gloucester, New Jersey",,9006,3226.5807773745,5.5322007551,49823,17850.0926128282,13022.02305835,117276339.6635,420.166092826,
Age group,<1,86,2716.3613392293,17.511627907,1506,47567.9090334807,26462.8225611904,2275802.74026237,718.825881321,
,1-17,254,425.4392576587,6.2007874016,1575,2638.0583890257,12340.0754832823,3134379.17275372,52.4995255306,
,18-44,2595,2739.0753641545,4.966088632,12887,13602.4910280768,9567.5922585542,24827901.9109481,262.0635624968,
,45-64,3195,3965.8403981977,5.6910798122,18183,22569.9142286161,14600.694152105,46649217.8159756,579.0402271015,
,65-84,2874,7018.8292182577,5.4512874043,15667,38261.6553105233,14047.9387858939,40373776.0706591,986.0008320673,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,3724,2745.5432843304,5.8192803437,21671,15977.0860673262,13775.2058221627,51298866.4817342,378.2042383531,
,Female,5277,3677.8388776214,5.3321963237,28138,19610.9589422989,12498.9702725879,65957066.1284468,459.6919879876,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,4078,†,5.4884747425,22382,†,13529.1966528495,55172063.9503205,†,
,Medicaid,1770,†,6.1463276836,10879,†,10770.5188805195,19063818.4185196,†,
,Private insurance,2730,†,5.2315018315,14282,†,13967.660846617,38131714.1112645,†,
,Uninsured,297,†,5.7205387205,1699,†,10577.3780111347,3141481.26930702,†,
,Other,130,†,4.4615384615,580,†,13565.1031665627,1763463.41165315,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,324,121.850319669,3.049382716,988,371.5682587439,5919.9505646727,1918063.98295395,†,
,Neonatal birth hospitalization,79,28.9271329183,16.6835443038,1318,482.607103625,19887.7958333831,1571135.87083727,†,
,Nonmaternal/nonneonatal hospitalization,8603,306.4182932042,5.5233058235,47517,1692.4419432968,13226.4488910507,113787139.809709,†,
Type of substance use disorder,Alcohol-related disorders,1360,487.2473747756,6.3889705882,8689,3113.0091466364,14929.5961925541,20304250.8218736,72.7440655128,
,Cannabis-related disorders,550,197.0485706813,5.0836363636,2796,1001.7232793181,7835.4377311068,4309490.75210875,15.4396180558,
,Neonatal abstinence syndrome,46,16.4804259115,22.8913043478,1053,377.2584453226,26045.3586093255,1198086.49602897,4.292386029,
,Opioid-related disorders,1313,470.4086787356,5.5140898705,7240,2593.8757304232,11440.2818071644,15021090.0128069,53.8160784927,
,Sedative-related disorders,261,93.5085035415,5.9923371648,1564,560.334480992,9527.2244728648,2486605.58741771,8.9087650336,
,Stimulant-related disorders,536,192.0327888822,5.3861940299,2887,1034.3258610127,7833.9599235183,4199002.51900582,15.043771721,
,Miscellaneous substances and addictive disorders,307,109.988929453,5.6840390879,1745,625.1813742526,9401.7417720899,2886334.72403161,10.3408751251,
Type of mental disorder,Anxiety disorders,4290,1536.9788513143,5.0435897436,21637,7751.8907706032,12514.3018054361,53686354.7453211,192.3421721392,
,Bipolar disorders,812,290.9153443513,6.0541871921,4916,1761.2559517625,10882.8606719374,8836882.86561322,31.659911599,
,Depressive disorders,3914,1402.269282994,5.3914154318,21102,7560.2162518496,12401.1984363118,48538290.6797245,173.8981963955,
,"Disruptive, impulse-control, and conduct disorders",91,32.6025816945,7.5164835165,684,245.0567679019,10633.6777149311,967664.672058734,3.4668534641,
,Eating disorders,50,17.9135064256,8.44,422,151.1899942318,12044.6154268978,602230.771344891,2.1576129584,
,Obsessive-compulsive disorders,41,14.689075269,5.9024390244,242,86.7013710998,9608.8034053053,393960.939617517,1.4114443647,
,Personality disorders,202,72.3705659593,6.2227722772,1257,450.3455515389,7418.8378029595,1498605.23619781,5.3690549056,
,Schizophrenia and related disorders,513,183.7925759264,7.0272904483,3605,1291.5638132839,9882.3813011801,5069661.6075054,18.1630831563,
